客戶暱稱,回覆同事,LINE OA來源,時間,對話內容
王小姐,,會計師事務所OA,2026-07-01 09:12,請問公司要增資的話需要準備哪些文件？
,陳會計,會計師事務所OA,2026-07-01 09:45,您好，增資需要準備股東會議事錄、董事會議事錄、驗資證明等文件，我這邊先幫您列一份清單
陳先生,,商務中心OA,2026-07-01 10:03,想請問借址登記一年費用多少？
,林專員,商務中心OA,2026-07-01 10:06,您好，借址登記一年方案是6000元，包含信件代收服務喔
林經理,,商務中心OA,2026-07-02 11:20,我們現在租的虛擬辦公室方案可以順便問你們有沒有代客記帳服務嗎？
,林專員,商務中心OA,2026-07-02 14:55,不好意思讓您久等，記帳服務可以請會計師事務所那邊的同事跟您聯繫
張小姐,,會計師事務所OA,2026-07-02 13:10,營業稅申報期限是這個月幾號？上次逾期被罰錢了很不爽
,黃會計,會計師事務所OA,2026-07-02 13:12,您好，這個月申報期限是15號，我這邊會提前提醒您避免再次逾期
李先生,,會計師事務所OA,2026-07-03 08:30,綜所稅申報可以幫我用網路申報嗎
,陳會計,會計師事務所OA,2026-07-03 08:33,可以的，我這邊協助您線上申報，麻煩提供扣繳憑單資料
黃小姐,,商務中心OA,2026-07-03 15:00,會議室下週三下午可以借嗎 大概要用3小時
,林專員,商務中心OA,2026-07-03 15:05,幫您確認一下時段，馬上回覆您
吳先生,,會計師事務所OA,2026-07-03 16:20,我們營所稅試算出來的稅額怎麼比去年高這麼多 想了解原因
,黃會計,會計師事務所OA,2026-07-04 09:15,不好意思拖到現在才回覆，我這邊查了一下是因為今年營收成長，稅額會相應提高
蔡小姐,,商務中心OA,2026-07-04 10:00,信件代收最近好像有一封掛號沒通知我 有點不滿意這服務
,林專員,商務中心OA,2026-07-04 10:02,非常抱歉造成您的困擾，我馬上去查一下是哪一封信件
劉先生,,會計師事務所OA,2026-07-04 11:00,想請教一下公司解散清算的流程跟大概要多久時間
,陳會計,會計師事務所OA,2026-07-04 11:04,您好，解散清算大約需要2-3個月，我幫您整理流程說明
許小姐,,商務中心OA,2026-07-04 14:00,我們是借址客戶 最近業務量變大在考慮要不要順便找你們做記帳 可以約時間聊嗎
,林專員,商務中心OA,2026-07-04 14:03,當然可以，我幫您安排跟會計師事務所的同事約時間喔
鄭先生,,會計師事務所OA,2026-07-05 09:00,發票開立錯誤要怎麼作廢重開
,黃會計,會計師事務所OA,2026-07-05 09:45,您好，作廢重開需要在系統上申請，我這邊教您步驟
謝小姐,,商務中心OA,2026-07-05 10:30,虛擬辦公室續約的話有沒有優惠
,林專員,商務中心OA,2026-07-05 10:31,有的，續約可以享95折優惠喔
郭先生,,會計師事務所OA,2026-07-05 13:00,扣繳憑單什麼時候要申報 逾期會怎樣
,陳會計,會計師事務所OA,2026-07-06 10:20,不好意思現在才回覆，扣繳憑單申報期限是1月底前，逾期會有罰鍰
何小姐,,商務中心OA,2026-07-06 09:00,想請問實體座位方案跟虛擬辦公室方案的差別
,林專員,商務中心OA,2026-07-06 09:02,實體座位可以每天到辦公室使用座位，虛擬辦公室則只是借址不含座位喔
楊先生,,會計師事務所OA,2026-07-06 15:00,記帳費用可以再談嗎 覺得比其他家貴 在考慮換會計師
,黃會計,會計師事務所OA,2026-07-06 15:20,了解您的考量，我這邊先跟主管確認可以調整的空間再回覆您
周小姐,,商務中心OA,2026-07-06 16:00,會議室設備有投影機嗎 想確認一下
,林專員,商務中心OA,2026-07-06 16:01,有的，會議室都配有投影機跟白板喔
徐先生,,會計師事務所OA,2026-07-07 09:30,公司地址變更登記要準備什麼文件
,陳會計,會計師事務所OA,2026-07-07 09:33,您好，需要準備變更登記申請書跟新址證明文件
朱小姐,,商務中心OA,2026-07-07 10:00,我們公司在你們這邊借址 最近想順便問問看工商登記變更負責人的服務
,林專員,商務中心OA,2026-07-07 13:40,不好意思晚回覆，這部分我幫您轉介會計師事務所同事處理
潘先生,,會計師事務所OA,2026-07-07 14:00,營業稅這個月申報後發現金額算錯了 要怎麼補報
,黃會計,會計師事務所OA,2026-07-07 14:05,您好，可以幫您辦理更正申報，麻煩提供正確的發票資料
蘇小姐,,商務中心OA,2026-07-08 09:00,信件代收服務很好用 想加購會議室方案
,林專員,商務中心OA,2026-07-08 09:03,謝謝您的肯定，我這邊幫您介紹會議室方案
范先生,,會計師事務所OA,2026-07-08 10:00,公司設立登記大概要多久時間 想趕在月底前完成
,陳會計,會計師事務所OA,2026-07-08 10:02,一般大約7-10個工作天，我們會盡量加快幫您處理
方小姐,,商務中心OA,2026-07-08 11:00,虛擬辦公室的電話代接服務是怎麼運作的
,林專員,商務中心OA,2026-07-08 11:35,不好意思現在才看到，電話代接是有專人幫您接聽並轉達留言
杜先生,,會計師事務所OA,2026-07-09 09:00,我已經寄了三次email都沒人回覆 服務態度讓我很不滿意 在考慮解約
,黃會計,會計師事務所OA,2026-07-09 16:50,非常抱歉這麼晚才回覆您，我立刻確認您先前的email內容並儘速處理
江小姐,,商務中心OA,2026-07-09 10:00,想請問借址登記的地址可以拿去申請銀行開戶嗎
,林專員,商務中心OA,2026-07-09 10:04,可以的，我們的地址是合法登記地址，銀行開戶沒問題
高先生,,會計師事務所OA,2026-07-09 13:00,綜所稅列舉扣除額可以幫我試算嗎
,陳會計,會計師事務所OA,2026-07-09 13:03,可以的，麻煩提供您的收據資料我幫您試算
